1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.995006	0.000000	15.442513	0.016154	67
1	-0.954189	0.000000	15.442513	0.014242	0
2	-0.999147	1.000000	14.740581	0.004256	0
3	-1.013041	1.997813	14.101027	0.010984	0
4	-1.031155	2.541228	13.775525	0.004407	16
5	-0.976318	2.314405	13.909546	0.004929	0
6	-0.991888	2.293911	13.921783	0.012442	0
7	-0.994203	2.243393	13.952041	0.005898	0
8	-1.008445	1.995014	14.102744	0.003166	0
9	-0.983594	1.776705	14.237914	0.002415	0
10	-1.010751	2.010578	14.093205	0.004863	16
11	-0.995349	1.854082	14.189709	0.005290	0
12	-0.989373	1.623006	14.334646	0.013974	0
13	-0.981056	1.374069	14.494135	0.010805	0
14	-0.999881	2.374069	13.874041	0.016317	0
15	-0.997281	2.125113	14.023403	0.006141	0
16	-0.997323	3.124808	13.442295	0.010768	0
17	-0.974134	3.314317	13.337524	0.013219	0
18	-1.017529	4.314306	12.810653	0.014143	0
19	-0.996529	4.065351	12.937891	0.012564	0
20	-1.000340	5.065351	12.441528	0.007668	0
21	-0.984354	4.816430	12.561488	0.016832	0
22	-0.986822	5.816362	12.093094	0.006775	0
23	-1.014201	5.567897	12.206189	0.005138	0
24	-1.001638	5.339395	12.312082	0.013980	0
25	-1.014350	5.140886	12.405577	0.003392	0
26	-0.994996	5.649385	12.168865	0.016645	0
27	-0.983788	6.637100	11.733966	0.017268	0
28	-0.989307	7.637100	11.324219	0.019412	0
29	-0.971452	7.388144	11.423529	0.020365	0
30	-1.001656	8.388144	11.034817	0.012914	0
31	-0.954072	9.388144	10.671688	0.009535	0
32	-0.981956	9.422415	10.659666	0.005686	0
33	-1.005186	9.177623	10.746134	0.011242	1
34	-1.002588	10.172462	10.403182	0.017686	2
35	-0.984645	10.881230	10.171903	0.013527	1
36	-1.006726	11.881230	9.862550	0.018286	1
37	-0.981949	11.660716	9.929139	0.007081	2
38	-1.004135	11.411767	10.005403	0.014117	1
39	-1.008567	12.404168	9.708153	0.017186	1
40	-1.010564	13.403225	9.426232	0.016627	2
41	-1.009387	13.749440	9.332317	0.007908	15
42	-0.985707	14.749436	9.071270	0.002983	0
43	-1.008784	14.602851	9.108618	0.008322	0
44	-1.008699	14.378209	9.166456	0.003138	0
45	-0.995494	14.153403	9.225075	0.012178	0
46	-0.993162	14.743600	9.072751	0.014157	0
47	-0.972517	15.743600	8.825830	0.016746	0
48	-0.982928	16.743600	8.591994	0.005543	0
49	-0.988131	16.494646	8.649042	0.002918	0
50	-0.976993	16.537032	8.639276	0.024246	0
51	-0.999207	16.288248	8.696917	0.010473	0
52	-0.982713	17.288245	8.469774	0.016675	0
53	-1.005491	17.039294	8.525205	0.011364	15
54	-1.014474	18.039294	8.306830	0.005602	0
55	-0.990174	17.799993	8.358063	0.017920	0
56	-0.998910	17.551603	8.411914	0.018878	0
57	-1.002301	18.551603	8.199232	0.013250	0
58	-0.993014	19.499437	8.007340	0.008048	0
59	-0.972359	19.250482	8.056867	0.013228	16
60	-0.994757	20.250479	7.861552	0.012236	0
61	-0.985282	21.250479	7.675482	0.013401	0
62	-0.999097	22.250477	7.498016	0.017142	0
63	-1.003157	23.250477	7.328571	0.012536	0
64	-0.997972	24.250477	7.166616	0.008504	0
65	-1.009691	25.250473	7.011664	0.009688	15
66	-0.998550	25.170853	7.023755	0.008544	0
67	-0.998240	26.170443	6.874915	0.007671	0
68	-0.974758	25.923698	6.911066	0.004996	0
69	-0.977899	26.879532	6.773098	0.005922	0
70	-0.996754	26.638131	6.807420	0.009525	0
71	-0.999816	26.715252	6.796418	0.008415	1
72	-1.020573	26.817362	6.781905	0.008796	0
73	-0.986488	27.813016	6.643572	0.017667	0
74	-0.965452	27.564061	6.677629	0.007597	0
75	-1.006929	27.315128	6.712034	0.006818	0
76	-0.987340	28.273822	6.581442	0.013156	0
77	-0.996112	28.024872	6.614862	0.017364	1
78	-0.990122	28.492179	6.552405	0.012736	1
79	-1.002897	29.492179	6.422634	0.012691	2
80	-0.985041	29.263382	6.451870	0.007452	1
81	-0.998531	30.200563	6.333774	0.006918	1
82	-0.992760	29.952266	6.364639	0.014942	2
83	-0.999700	30.952245	6.242132	0.004105	1
84	-1.019339	31.302504	6.200330	0.006914	1
85	-0.987736	31.902081	6.130057	0.007168	2
86	-0.995030	32.895386	6.017079	0.008941	1
87	-1.002062	32.647373	6.044896	0.009408	1
88	-0.999644	33.647305	5.934287	0.018165	2
89	-0.994631	33.398349	5.961445	0.011792	1
