1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.171297	0.000000	251.633347	0.006153	17
1	-1.184301	0.000000	251.633347	0.005025	2
2	-1.191042	1.000000	240.195469	0.003744	2
3	-1.207849	0.805625	242.336565	0.004990	2
4	-1.209133	0.611195	244.516804	0.004808	2
5	-1.186013	0.416764	246.736630	0.002978	3
6	-1.172596	0.222334	248.997129	0.004381	2
7	-1.189804	0.027904	251.299432	0.002668	2
8	-1.213873	0.000000	251.633347	0.003134	15
9	-1.162754	0.000000	251.633347	0.004355	0
10	-1.190756	0.000000	251.633347	0.004102	0
11	-1.192728	0.000000	251.633347	0.004114	0
12	-1.184625	1.000000	240.195467	0.004370	0
13	-1.226940	2.000000	229.752186	0.003248	16
14	-1.200086	1.805620	231.710446	0.002261	0
15	-1.189090	1.611189	233.702890	0.003214	0
16	-1.220978	1.416759	235.729896	0.003784	0
17	-1.217221	1.222329	237.792373	0.003446	0
18	-1.193153	1.027902	239.891222	0.002567	15
19	-1.184067	0.833474	242.027466	0.003883	0
20	-1.203201	0.639083	244.201678	0.004956	0
21	-1.213102	1.639083	233.414947	0.003763	0
22	-1.197478	2.639083	223.540835	0.002936	0
23	-1.203559	3.639083	214.468224	0.003172	16
24	-1.181884	3.464552	215.998245	0.001764	0
25	-1.209306	4.216788	209.554848	0.001568	0
26	-1.221545	4.022902	211.178558	0.003831	0
27	-1.208464	5.022447	203.066998	0.002481	0
28	-1.211199	4.828025	204.595600	0.006718	16
29	-1.227740	5.828025	196.969411	0.006140	0
30	-1.194506	6.828025	189.891316	0.002373	0
31	-1.220887	6.646153	191.140527	0.004659	0
32	-1.229127	6.455208	192.469872	0.004072	0
33	-1.191526	7.455208	185.705912	0.002136	0
34	-1.231782	8.455085	179.401969	0.002022	0
35	-1.202955	8.261563	180.588449	0.002666	0
36	-1.181512	8.071546	181.768810	0.002111	0
37	-1.240972	7.877120	182.992633	0.004490	0
38	-1.213250	8.877120	176.867791	0.004530	0
39	-1.206435	9.877120	171.139673	0.002739	0
40	-1.180319	9.682690	172.224151	0.002158	0
41	-1.187726	9.489556	173.315094	0.004037	0
42	-1.206981	9.295126	174.427408	0.005895	0
43	-1.202883	10.295126	168.853779	0.003820	0
44	-1.183745	11.295126	163.625319	0.003260	0
45	-1.195055	11.100696	164.616378	0.002748	0
46	-1.234128	12.100658	159.643360	0.004450	0
47	-1.195975	13.100348	154.963235	0.004957	0
48	-1.182873	14.100348	150.548372	0.002820	0
49	-1.228299	13.906485	151.384486	0.002600	0
50	-1.195313	13.839411	151.675934	0.004688	0
51	-1.204263	14.839411	147.443836	0.002836	0
52	-1.219217	14.644981	148.248088	0.002723	0
53	-1.194477	14.451106	149.058827	0.001932	0
54	-1.197843	15.446224	144.988963	0.001866	0
55	-1.209283	15.252452	145.763942	0.002905	0
56	-1.235058	15.059087	146.545591	0.002341	0
57	-1.208576	14.891211	147.231037	0.002532	0
58	-1.220753	14.696781	148.032963	0.002742	2
59	-1.227131	14.509870	148.812153	0.003476	2
60	-1.214311	14.315440	149.631443	0.004791	3
61	-1.198391	15.315440	145.511118	0.002035	2
62	-1.224407	15.848842	143.404784	0.003837	2
63	-1.221918	15.655030	144.163034	0.002729	2
64	-1.253837	16.655028	140.334521	0.003666	31
65	-1.210463	16.460597	141.062894	0.001839	0
66	-1.235204	16.364086	141.427260	0.001982	0
67	-1.213177	16.176188	142.142070	0.003598	0
68	-1.215774	15.981757	142.889377	0.003028	0
69	-1.210972	16.258566	141.827795	0.002481	16
70	-1.222100	16.064203	142.571535	0.002490	0
71	-1.218698	16.437692	141.149200	0.002297	0
72	-1.225233	16.248473	141.866225	0.003346	0
73	-1.220118	16.054043	142.610627	0.004021	0
