1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.915621	0.000000	210.018066	0.009160	34
1	-0.944191	0.000000	210.018066	0.008243	16
2	-0.925685	0.994751	200.519629	0.009727	0
3	-0.929194	0.197619	208.060128	0.009313	0
4	-0.915510	1.197619	198.687049	0.009520	0
5	-0.907180	1.011824	200.364100	0.009764	0
6	-0.905061	2.009930	191.672871	0.008131	15
7	-0.952413	2.992602	183.822474	0.009702	0
8	-0.932427	3.992602	176.467399	0.010947	0
9	-0.922752	4.992583	169.678379	0.011369	0
10	-0.940891	5.992444	163.393113	0.007929	0
11	-0.936974	6.992444	157.556070	0.009644	16
12	-0.958779	6.193920	162.182554	0.008263	0
13	-0.948926	6.104152	162.719695	0.008219	0
14	-0.968357	7.079564	157.067230	0.011960	0
15	-0.933469	6.283913	161.647609	0.009950	0
16	-0.913652	7.160913	156.613508	0.008988	16
17	-0.947334	6.362389	161.184000	0.012695	0
18	-0.956962	7.362389	155.500981	0.006164	0
19	-0.969920	7.591178	154.256650	0.009019	0
20	-0.937786	8.590941	149.044921	0.011307	0
21	-0.951953	9.590941	144.172729	0.009488	15
22	-0.943452	10.590941	139.608993	0.007325	0
23	-0.923463	11.590940	135.325318	0.011036	0
24	-0.943996	12.588812	131.305011	0.008991	0
25	-0.938040	12.101430	133.238334	0.007498	0
26	-0.949582	11.302914	136.531935	0.007944	16
27	-0.931104	12.005783	133.624444	0.007407	0
28	-0.939213	13.005769	129.695036	0.009000	0
29	-0.926450	13.998997	126.014449	0.010354	0
30	-0.946794	14.960283	122.645848	0.007735	0
31	-0.925746	15.960195	119.327816	0.008314	0
32	-0.961159	16.935666	116.259444	0.009558	0
33	-0.955084	16.140110	118.749767	0.010296	0
34	-0.910504	15.341726	121.358556	0.008473	0
35	-0.981503	14.545630	124.076558	0.009742	1
36	-0.947886	13.751629	126.911442	0.010697	0
37	-0.954571	14.751629	123.361634	0.007335	0
38	-0.947805	13.956257	126.168525	0.008940	0
