1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.858118	0.000000	300.239038	0.015446	94
1	-0.851278	0.000000	300.239038	0.015612	0
2	-0.832286	0.998858	286.606685	0.016691	0
3	-0.842589	1.998858	274.144906	0.016351	0
4	-0.849751	2.998662	262.723803	0.018004	0
5	-0.866729	3.998662	252.214289	0.018041	0
6	-0.862099	4.998662	242.513240	0.019554	1
7	-0.838405	4.162401	250.573063	0.015459	2
8	-0.821844	3.354684	258.883252	0.018080	2
9	-0.881982	3.618053	256.113665	0.018657	2
10	-0.844584	4.618053	246.116275	0.019766	2
11	-0.844570	5.618053	236.870059	0.023517	2
12	-0.861828	4.794765	244.430212	0.016114	16
13	-0.881814	3.958519	252.619947	0.017348	0
14	-0.835610	3.122259	261.377669	0.019353	0
15	-0.866504	4.122259	250.973443	0.019825	0
16	-0.851766	5.122259	241.365796	0.017551	0
17	-0.860624	6.122259	232.466618	0.028522	0
18	-0.871318	5.286628	239.856547	0.014548	0
19	-0.875311	6.286628	231.066289	0.015511	0
20	-0.847240	5.450366	238.371740	0.015414	0
21	-0.872584	6.450364	229.688025	0.014153	0
22	-0.877576	5.614127	236.904999	0.015113	0
23	-0.887898	4.777866	244.590450	0.019574	0
24	-0.856713	5.777866	235.456397	0.017299	0
25	-0.893469	6.777866	226.979994	0.013772	0
26	-0.890730	7.777866	219.092682	0.017599	0
27	-0.879570	8.777866	211.735114	0.015432	16
28	-0.867418	9.777866	204.855653	0.016612	0
29	-0.891932	10.777866	198.409164	0.016733	0
30	-0.897717	11.777866	192.356020	0.019901	0
31	-0.876857	12.777866	186.661284	0.015711	0
32	-0.904880	13.777866	181.294040	0.016201	15
33	-0.893988	12.941613	185.760761	0.019899	0
34	-0.870156	13.941613	180.444442	0.017093	0
35	-0.885927	14.941570	175.424164	0.021720	0
36	-0.892821	15.940850	170.678796	0.015491	0
37	-0.895668	16.934911	166.206265	0.015998	1
38	-0.893297	16.098649	169.952814	0.018835	0
39	-0.896900	17.098649	165.491952	0.019762	0
40	-0.924324	18.098649	161.259275	0.018102	0
41	-0.894938	19.098453	157.238482	0.017330	0
42	-0.874958	20.098375	153.412874	0.016782	3
43	-0.894352	19.262136	156.599239	0.018045	2
44	-0.925266	20.262136	152.804010	0.020297	2
45	-0.914853	19.425874	155.964959	0.018348	1
46	-0.909578	20.036235	153.645180	0.017881	2
47	-0.906937	19.200648	156.838759	0.012951	2
48	-0.927332	18.364387	160.170660	0.014678	2
49	-0.933981	19.364387	156.202541	0.017032	2
50	-0.912701	18.813884	158.362340	0.013120	17
51	-0.912801	19.813884	154.482231	0.012464	0
