1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.006281	0.000000	284.266832	0.008415	31
1	-1.026729	0.000000	284.266832	0.007586	0
2	-1.047052	0.000000	284.266832	0.007147	0
3	-1.008828	0.000000	284.266832	0.009088	16
4	-1.031635	0.998364	271.365798	0.004371	0
5	-1.037672	0.748699	274.480944	0.006134	0
6	-1.056829	1.748644	262.415793	0.005270	0
7	-1.052089	1.490279	265.430384	0.005546	0
8	-1.020846	2.490258	254.131031	0.004377	15
9	-1.025106	3.490235	243.754442	0.004272	0
10	-1.036952	3.443022	244.225267	0.005272	0
11	-1.049890	3.184655	246.834342	0.006626	0
12	-1.023417	4.184655	237.033360	0.006223	0
13	-1.052363	5.184654	227.980995	0.006552	0
14	-1.053705	6.184654	219.594609	0.008836	0
15	-1.007236	7.184654	211.803326	0.005711	0
16	-1.038951	8.184654	204.545974	0.005487	0
17	-1.039270	7.926303	206.372844	0.007022	0
18	-1.033895	8.926303	199.476809	0.007372	16
19	-1.046634	9.926303	193.026739	0.007354	0
20	-1.062802	10.926303	186.980730	0.008287	0
21	-1.060001	10.668057	188.505519	0.005868	0
22	-1.070709	10.409692	190.056098	0.006739	0
23	-1.022102	10.194100	191.369631	0.006541	15
24	-1.043326	11.194100	185.425389	0.006749	0
25	-1.058635	12.194100	179.839294	0.003975	0
26	-1.044200	13.182382	174.639774	0.006766	0
27	-1.069915	14.182382	169.675932	0.006621	0
28	-1.058932	15.182382	164.986471	0.006759	16
29	-1.028851	14.924015	166.173057	0.003646	0
30	-1.070850	15.924015	161.672651	0.007724	0
31	-1.080223	16.839757	157.760090	0.008254	0
32	-1.021781	17.839757	153.698270	0.004819	0
33	-1.058937	18.839757	149.840358	0.005308	1
34	-1.056301	19.839745	146.171419	0.005258	0
35	-1.036082	20.839745	142.677817	0.005196	0
36	-1.049250	21.839745	139.347316	0.004793	0
37	-1.041142	22.828256	136.204448	0.005845	0
38	-1.046217	23.828256	133.166086	0.008245	2
39	-1.027062	23.575035	133.922576	0.004666	2
40	-1.041199	24.574861	130.984567	0.004965	2
41	-1.059163	25.571331	128.181937	0.007320	2
42	-1.073792	26.571331	125.487418	0.004595	2
43	-1.047134	27.571330	122.903851	0.005213	1
44	-1.073897	27.352069	123.461179	0.005574	2
45	-1.038604	28.352068	120.959541	0.006250	2
46	-1.084516	28.124042	121.521017	0.005215	2
47	-1.035092	29.124042	119.096611	0.005613	31
48	-1.059133	30.024804	116.994147	0.007557	0
49	-1.070625	31.024804	114.745332	0.004821	0
50	-1.030959	32.024804	112.581339	0.004946	0
51	-1.044909	33.024802	110.497461	0.005737	0
52	-1.047565	34.024802	108.489321	0.004497	16
53	-1.045334	35.024802	106.552870	0.004176	0
54	-1.078795	34.766436	107.046529	0.005765	0
55	-1.033640	35.766436	105.160793	0.005413	0
56	-1.053582	36.766436	103.340345	0.006063	0
57	-1.025176	37.702377	101.692704	0.004318	15
58	-1.028514	38.701627	99.990633	0.006598	0
59	-1.034848	39.077953	99.364296	0.005647	0
60	-1.040036	40.077953	97.737452	0.006789	0
61	-1.045852	41.077953	96.163021	0.004918	0
62	-1.049346	42.077953	94.638510	0.007041	16
63	-1.039510	43.077487	93.162260	0.003579	0
64	-1.049173	44.077487	91.730701	0.008569	0
65	-1.055805	43.819241	92.096165	0.005189	0
66	-1.071941	44.819241	90.696936	0.005606	0
67	-1.056327	45.819238	89.339592	0.005300	15
68	-1.077647	46.819238	88.022273	0.006280	0
69	-1.070761	47.819238	86.743237	0.006975	0
70	-1.057564	48.819238	85.500840	0.006104	0
71	-1.057806	49.819237	84.293530	0.006027	0
72	-1.035378	50.819237	83.119839	0.004539	16
73	-1.045838	51.774910	82.028318	0.004540	0
74	-1.040940	52.774897	80.916460	0.005122	0
75	-1.069958	52.516530	81.200833	0.005008	0
76	-1.054773	53.516530	80.111130	0.004325	0
77	-1.041575	53.258164	80.389861	0.003708	16
78	-1.064632	52.999798	80.670538	0.009498	0
79	-1.061939	53.999798	79.594928	0.004577	0
80	-1.085687	54.999798	78.547623	0.004630	0
81	-1.056497	54.780695	78.774726	0.004563	0
82	-1.071397	54.530200	79.035981	0.004745	0
83	-1.077506	55.530196	78.003243	0.004464	0
84	-1.072744	55.271966	78.267335	0.006951	0
85	-1.060665	55.013600	78.533361	0.006201	0
86	-1.053400	56.013600	77.513627	0.004992	0
87	-1.064270	55.755242	77.774538	0.007088	2
88	-1.042663	56.755192	76.774339	0.008185	2
89	-1.040955	56.496826	77.030296	0.004023	2
90	-1.035715	57.496824	76.048981	0.006318	2
91	-1.075040	57.259579	76.279524	0.009509	2
92	-1.043778	58.255005	75.321470	0.009068	2
93	-1.052598	59.255005	74.382943	0.007233	2
94	-1.038558	60.255005	73.467517	0.006252	2
95	-1.029067	59.996639	73.701867	0.004749	2
96	-1.064595	60.996639	72.803026	0.005903	2
97	-1.051901	61.993493	71.928573	0.003693	1
98	-1.018091	62.259565	71.698710	0.005230	31
99	-1.051683	62.001199	71.921894	0.007707	0
100	-1.050363	61.742833	72.146472	0.004534	0
101	-1.069958	61.494202	72.363916	0.006150	0
102	-1.068666	62.494202	71.497222	0.004324	0
103	-1.060432	63.494202	70.651043	0.005001	15
104	-1.052920	64.489673	69.828358	0.004965	0
105	-1.077410	64.240032	70.032863	0.008131	0
106	-1.051890	65.240032	69.220794	0.006875	0
107	-1.042873	66.240032	68.427342	0.005788	0
108	-1.061869	67.240032	67.651873	0.007933	16
109	-1.055688	68.240032	66.893785	0.004478	0
110	-1.069282	69.240032	66.152497	0.005771	0
111	-1.043082	68.981666	66.342442	0.004387	0
112	-1.084538	69.980881	65.613823	0.007670	0
113	-1.068935	70.980881	64.900481	0.003050	16
114	-1.062074	70.723123	65.082863	0.007405	0
115	-1.079140	71.154360	64.778307	0.004215	0
116	-1.026056	72.154360	64.082921	0.004724	0
117	-1.058913	73.083391	63.450131	0.006794	0
118	-1.056365	74.082942	62.783117	0.006595	15
119	-1.034351	75.078168	62.132778	0.005492	0
120	-1.061971	76.078168	61.492749	0.005389	0
121	-1.062858	77.078160	60.865778	0.007277	0
122	-1.046444	78.078160	60.251457	0.006809	0
123	-1.063852	79.078160	59.649413	0.005062	0
124	-1.067006	78.819793	59.803805	0.008798	0
125	-1.077002	79.819793	59.210630	0.005454	0
126	-1.070112	80.819793	58.629106	0.003845	0
127	-1.036321	81.075508	58.482232	0.004787	0
128	-1.046671	82.075508	57.914859	0.004027	0
129	-1.036913	81.842858	58.045873	0.006036	0
130	-1.044031	82.842858	57.486895	0.003243	0
131	-1.070844	83.842319	56.938873	0.006264	0
132	-1.056450	84.572100	56.545276	0.006498	0
133	-1.037161	85.572100	56.014693	0.005915	0
134	-1.039282	85.313735	56.150821	0.004317	0
135	-1.065739	86.289812	55.639984	0.003415	0
136	-1.082213	86.045079	55.767192	0.008454	0
137	-1.069675	85.786713	55.902119	0.004179	0
138	-1.031275	85.534735	56.034339	0.007526	0
139	-1.021951	85.276369	56.170563	0.006922	0
140	-1.080241	86.276369	55.646957	0.005799	0
141	-1.070922	86.907137	55.321674	0.004676	0
142	-1.074885	87.907137	54.813703	0.004054	0
143	-1.024815	87.649150	54.943858	0.007478	0
144	-1.051243	88.649150	54.442770	0.003704	0
145	-1.020609	89.649150	53.950739	0.004442	0
146	-1.048411	89.398612	54.073175	0.006514	0
147	-1.052731	90.398612	53.587773	0.004276	0
148	-1.062776	91.398612	53.111007	0.006624	0
149	-1.046823	91.140245	53.233373	0.002707	0
150	-1.061833	92.139927	52.763013	0.004573	0
151	-1.067537	92.387085	52.648002	0.004195	0
152	-1.030295	92.988489	52.370231	0.006227	0
153	-1.081011	93.988489	51.914792	0.004305	0
154	-1.080365	94.988305	51.467288	0.005993	0
155	-1.039246	95.988305	51.027352	0.003993	0
156	-1.070035	95.729950	51.140290	0.004702	0
157	-1.046412	96.729950	50.705903	0.002472	0
158	-1.070558	97.375754	50.429275	0.004398	2
159	-1.035611	97.365101	50.433814	0.005207	2
160	-1.074844	97.109750	50.542851	0.006518	2
161	-1.049287	96.851383	50.653656	0.005191	2
162	-1.063108	97.851168	50.227554	0.006191	2
163	-1.062655	98.851168	49.808471	0.004469	1
164	-1.006410	99.851168	49.396324	0.005967	2
165	-1.072628	100.851168	48.990942	0.004383	2
166	-1.059966	101.330633	48.798926	0.006120	2
167	-1.052798	102.330633	48.403250	0.003293	2
168	-1.064303	103.234971	48.050911	0.006030	2
169	-1.040396	104.234971	47.667225	0.005460	31
170	-1.072756	105.234971	47.289617	0.005932	0
171	-1.067075	106.234970	46.917946	0.006115	0
172	-1.057549	105.976604	47.013413	0.004146	0
173	-1.071537	105.718237	47.109268	0.004429	0
174	-1.064954	106.718210	46.740426	0.006976	16
175	-1.054953	107.616570	46.413953	0.003889	0
176	-1.047010	107.358204	46.507378	0.006190	0
177	-1.066837	107.099859	46.601171	0.005201	0
178	-1.053102	108.099859	46.240201	0.005726	0
179	-1.062614	109.099859	45.884780	0.008067	15
180	-1.047590	110.099859	45.534782	0.005866	0
181	-1.035214	111.062366	45.202912	0.004182	0
182	-1.069267	110.820627	45.285807	0.004502	0
183	-1.061563	111.358651	45.101725	0.006789	0
184	-1.045285	111.100285	45.189936	0.003951	1
185	-1.034416	110.841919	45.278494	0.003280	0
186	-1.062800	111.841917	44.937649	0.003144	0
187	-1.075558	112.737408	44.636752	0.004655	0
188	-1.071168	113.493426	44.385838	0.006682	0
189	-1.025971	114.485402	44.060861	0.007492	17
190	-1.046826	115.485402	43.738036	0.006950	0
191	-1.057215	115.227036	43.820989	0.004030	0
192	-1.059058	116.227036	43.501657	0.006595	0
193	-1.047585	117.227036	43.186945	0.003384	0
194	-1.028046	118.087043	42.919911	0.004805	0
