1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.149317	0.000000	43.627280	0.014478	201
1	-0.164656	0.000000	43.627280	0.010464	2
2	-0.164413	0.000000	43.627280	0.011570	2
3	-0.140587	0.000000	43.627280	0.005522	1
4	-0.164118	0.999889	41.644432	0.008390	2
5	-0.170407	0.599070	42.417237	0.010179	1
6	-0.172779	0.216599	43.181892	0.015520	2
7	-0.160204	1.216599	41.238215	0.015466	2
8	-0.165903	2.216598	39.461978	0.014163	2
9	-0.160096	3.216598	37.832435	0.009314	2
10	-0.168911	2.818926	38.464071	0.004979	1
11	-0.160222	3.730343	37.046508	0.009249	2
12	-0.178959	3.328883	37.657827	0.015360	2
13	-0.164344	4.328883	36.171073	0.008010	1
14	-0.153516	3.947161	36.724534	0.008996	2
15	-0.152963	4.946952	35.309460	0.009030	1
16	-0.172265	4.545361	35.864550	0.005026	1
17	-0.179495	5.545343	34.513507	0.010075	1
18	-0.146935	5.484673	34.592568	0.010982	1
19	-0.169570	5.083054	35.125214	0.005163	1
20	-0.162193	4.716032	35.626526	0.010460	2
21	-0.154794	5.196123	34.973606	0.005625	1
22	-0.154290	6.108576	33.796421	0.009705	2
23	-0.167992	5.707578	34.303854	0.008181	1
24	-0.167991	5.305982	34.827549	0.010699	2
25	-0.167424	6.305778	33.552344	0.010909	1
26	-0.159697	7.305750	32.367023	0.007971	2
27	-0.158006	6.994041	32.727425	0.011176	1
28	-0.149073	7.993881	31.598835	0.006433	2
29	-0.154062	8.699330	30.848267	0.009327	1
30	-0.159941	9.554570	29.984807	0.010516	1
31	-0.163128	10.554570	29.034555	0.010323	1
32	-0.162906	10.152950	29.408864	0.009215	2
33	-0.157742	10.005445	29.548774	0.011940	1
34	-0.171492	11.005443	28.625533	0.005964	2
35	-0.155429	10.603824	28.989304	0.007640	1
36	-0.169252	11.288346	28.374722	0.008794	2
37	-0.158323	12.192104	27.602133	0.013878	1
38	-0.171700	13.192104	26.794867	0.007509	2
39	-0.173550	14.170134	26.049741	0.005511	1
40	-0.146998	14.954064	25.481761	0.010088	1
41	-0.151706	14.552475	25.769595	0.014128	2
42	-0.158892	14.150859	26.064025	0.010885	1
43	-0.156532	13.749240	26.365264	0.007387	1
44	-0.161045	14.749240	25.627758	0.008623	1
45	-0.151333	14.348261	25.918471	0.005050	1
46	-0.147195	13.979343	26.191826	0.005528	1
47	-0.154875	14.928103	25.500174	0.013800	1
48	-0.169869	14.526564	25.788390	0.012850	1
49	-0.162857	14.125004	26.083210	0.007984	2
50	-0.160838	15.125004	25.361184	0.010320	2
51	-0.185082	15.315047	25.228464	0.011760	1
52	-0.165265	15.177583	25.324325	0.008249	2
53	-0.166172	16.177582	24.643154	0.006445	1
54	-0.152305	17.172299	24.000987	0.008980	2
55	-0.167203	16.888629	24.180681	0.008511	1
56	-0.162250	17.887498	23.559574	0.015726	1
57	-0.178772	17.486942	23.804772	0.010796	1
58	-0.158241	18.486071	23.202432	0.006862	1
59	-0.161072	19.483639	22.630694	0.007128	1
60	-0.164051	20.483492	22.085240	0.009533	1
61	-0.168305	20.084391	22.299780	0.005431	2
62	-0.174240	19.683375	22.519588	0.005717	2
63	-0.153926	19.307854	22.729388	0.007281	2
64	-0.175578	18.906265	22.958122	0.008781	1
65	-0.158806	18.504655	23.191517	0.011059	2
66	-0.166144	19.504655	22.618953	0.006419	1
67	-0.151224	19.103054	22.845464	0.007861	2
68	-0.175041	20.048328	22.319371	0.004775	1
69	-0.172795	19.648274	22.539035	0.008224	2
70	-0.153544	20.641083	22.001658	0.012699	1
71	-0.168436	20.239864	22.215710	0.012977	2
72	-0.176332	21.239864	21.689769	0.005498	1
73	-0.160558	20.845727	21.894060	0.018826	1
74	-0.173283	21.800983	21.405416	0.014374	2
75	-0.176341	22.800983	20.916719	0.006494	2
76	-0.165265	22.399382	21.110274	0.006747	2
77	-0.160900	23.355829	20.655073	0.010343	1
78	-0.175604	23.387230	20.640460	0.008522	2
79	-0.171994	22.985708	20.828876	0.007705	1
80	-0.160679	23.979021	20.368893	0.007999	1
81	-0.155316	23.577409	20.552403	0.007171	1
82	-0.155172	23.175800	20.739248	0.009862	1
83	-0.155931	22.818288	20.908459	0.005125	2
84	-0.183140	23.810907	20.445310	0.010263	1
85	-0.173486	24.261740	20.241663	0.008777	2
86	-0.170815	25.261740	19.804116	0.008778	1
87	-0.153126	26.261469	19.385196	0.006111	1
88	-0.150697	26.019057	19.485139	0.014686	1
89	-0.173699	26.515780	19.281444	0.011327	1
90	-0.164175	26.114161	19.445807	0.002780	1
91	-0.161726	27.113077	19.042076	0.008967	2
92	-0.160397	26.721208	19.198442	0.006910	1
93	-0.164649	26.587614	19.252339	0.005202	2
94	-0.148887	27.560546	18.866610	0.006884	1
95	-0.150278	27.319287	18.960811	0.007050	2
96	-0.142512	28.297280	18.584654	0.005699	1
97	-0.166209	27.895886	18.737218	0.011274	2
98	-0.157431	28.893036	18.362740	0.010088	1
99	-0.161063	28.491417	18.511753	0.010163	1
100	-0.157314	28.454336	18.525633	0.011526	1
101	-0.161947	29.452832	18.158998	0.006873	1
102	-0.152628	30.452538	17.806175	0.009673	1
103	-0.156621	31.447533	17.468369	0.008094	1
104	-0.151944	31.237729	17.538528	0.010765	2
105	-0.161235	30.836110	17.674414	0.006190	2
106	-0.173863	30.456075	17.804951	0.010518	1
107	-0.167814	31.454428	17.466073	0.005559	2
108	-0.175945	32.454425	17.139327	0.009088	1
109	-0.150828	32.053880	17.268725	0.008268	2
110	-0.170540	33.053849	16.949263	0.004752	1
111	-0.169898	32.652916	17.075919	0.010358	2
112	-0.174659	32.642530	17.079225	0.008849	1
113	-0.170347	33.642528	16.766663	0.014637	2
114	-0.156624	34.642528	16.465335	0.006742	1
115	-0.157863	34.260789	16.579077	0.008257	2
116	-0.153919	33.859180	16.700448	0.008184	2
117	-0.173301	34.567718	16.487502	0.012187	1
118	-0.168145	35.567718	16.196037	0.012446	2
119	-0.160134	36.545259	15.920910	0.012035	1
120	-0.170141	37.535786	15.651500	0.007355	2
121	-0.161993	38.451351	15.410463	0.010946	1
122	-0.153792	38.050454	15.515086	0.011091	2
123	-0.169932	39.050454	15.256719	0.005556	1
124	-0.185727	39.933392	15.035645	0.005295	1
125	-0.169221	39.952513	15.030929	0.008645	3
126	-0.160586	39.565370	15.127009	0.008509	2
127	-0.170027	40.565366	14.881303	0.012048	1
128	-0.172389	40.163747	14.979018	0.010715	2
129	-0.162718	39.762128	15.078025	0.013536	1
130	-0.190789	40.487831	14.900068	0.006055	2
131	-0.150515	40.086290	14.998011	0.004333	1
132	-0.160161	41.050030	14.765067	0.011550	2
133	-0.150741	40.650080	14.860855	0.009490	1
134	-0.163528	40.248493	14.958292	0.008524	2
135	-0.165042	39.917108	15.039664	0.004375	1
136	-0.165324	40.905062	14.799644	0.010320	1
137	-0.156413	40.816488	14.820850	0.010181	1
138	-0.168840	41.816306	14.584953	0.004053	2
139	-0.167145	41.416712	14.678326	0.010333	2
140	-0.173286	41.161064	14.738693	0.008350	1
141	-0.168189	42.005047	14.541262	0.008333	2
142	-0.159976	43.004494	14.314196	0.008085	2
143	-0.152541	42.604302	14.404260	0.011808	2
144	-0.140159	42.263903	14.481763	0.009103	2
145	-0.169199	41.862284	14.574285	0.009005	1
146	-0.168012	42.862283	14.346071	0.007291	2
147	-0.161675	43.861788	14.125002	0.003731	1
148	-0.153057	43.542671	14.194840	0.008907	2
149	-0.165570	44.509302	13.985386	0.009016	1
150	-0.152248	44.107702	14.071651	0.006383	2
151	-0.169816	43.710335	14.158061	0.007454	1
152	-0.165445	43.355288	14.236171	0.009439	2
153	-0.153193	44.298589	14.030516	0.009891	2
154	-0.167147	45.297575	13.819101	0.004029	1
