1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.268953	0.000000	82.068025	0.007371	114
1	-0.295659	0.000000	82.068025	0.008160	2
2	-0.310921	0.000000	82.068025	0.008311	1
3	-0.287422	0.000000	82.068025	0.005875	1
4	-0.307142	0.000000	82.068025	0.006063	2
5	-0.309064	0.000000	82.068025	0.009453	1
6	-0.324087	0.000000	82.068025	0.002629	1
7	-0.298489	0.000000	82.068025	0.005846	1
8	-0.290576	0.000000	82.068025	0.006064	1
9	-0.283149	0.000000	82.068025	0.003649	1
10	-0.302262	0.000000	82.068025	0.004295	1
11	-0.316711	0.640710	79.638261	0.004401	2
12	-0.307221	0.348602	80.727935	0.005009	1
13	-0.260121	0.056493	81.847842	0.005306	1
14	-0.280279	0.000000	82.068025	0.005908	1
15	-0.325103	0.997312	78.347232	0.006342	2
16	-0.330140	0.705204	79.401629	0.005107	1
17	-0.311202	0.481610	80.228089	0.004677	1
18	-0.296451	0.189504	81.334065	0.005277	1
19	-0.321278	0.000000	82.068025	0.010670	1
20	-0.307343	1.000000	78.337661	0.004527	1
21	-0.316083	0.707891	79.391798	0.003753	1
22	-0.317547	0.867422	78.812605	0.008306	2
23	-0.302483	1.867422	75.366104	0.004467	1
24	-0.303881	1.575377	76.341076	0.007831	2
25	-0.300980	2.575377	73.102906	0.005625	1
26	-0.326440	3.575374	70.128272	0.005281	2
27	-0.341693	3.447483	70.495133	0.006117	1
28	-0.299312	4.420473	67.796871	0.004698	1
29	-0.301039	4.128383	68.584936	0.007554	2
30	-0.309011	3.836275	69.391588	0.004044	1
31	-0.317312	4.822236	66.742034	0.003364	1
32	-0.323174	5.820056	64.258946	0.007557	2
33	-0.306430	5.527948	64.966522	0.003191	1
34	-0.315891	6.426301	62.838533	0.001843	2
35	-0.291304	6.676578	62.270290	0.005289	1
36	-0.347178	6.410138	62.875588	0.004574	1
37	-0.313119	6.118029	63.552868	0.004111	2
38	-0.324738	7.118027	61.292656	0.004909	2
39	-0.300523	8.103046	59.218150	0.003799	1
40	-0.320148	9.049132	57.353687	0.006242	2
