1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
126	-0.373337	43.160520	44.586097	0.004487	1
127	-0.383085	43.013321	44.688623	0.002585	1
128	-0.407907	42.866127	44.791617	0.002029	1
129	-0.413230	42.718930	44.895091	0.005059	2
130	-0.403302	43.718930	44.201398	0.003869	1
131	-0.397296	44.718930	43.528815	0.002534	2
132	-0.376512	44.571731	43.626531	0.001761	1
133	-0.429750	44.506423	43.670025	0.002742	2
134	-0.411701	44.359225	43.768376	0.002469	1
135	-0.416477	45.359221	43.108812	0.001929	2
136	-0.409843	45.521898	43.003390	0.003119	1
137	-0.372707	46.521896	42.366511	0.001960	2
138	-0.386128	46.374697	42.459073	0.004227	1
139	-0.418450	46.227498	42.552040	0.003434	1
140	-0.401957	46.080299	42.645415	0.003234	2
141	-0.388544	45.933100	42.739200	0.001818	1
142	-0.397662	45.797174	42.826170	0.003143	2
143	-0.416877	46.734106	42.233777	0.004187	1
144	-0.397143	47.734106	41.619326	0.005906	1
145	-0.401266	47.586907	41.708648	0.002331	1
146	-0.387531	48.586907	41.109273	0.001727	1
147	-0.393667	48.572941	41.117525	0.003361	1
148	-0.404765	48.425742	41.204704	0.003676	2
149	-0.384432	48.278544	41.292253	0.002538	1
150	-0.383955	48.131782	41.379913	0.001138	1
151	-0.391323	47.984601	41.468199	0.003828	2
152	-0.413364	48.984593	40.875670	0.004363	2
153	-0.369519	48.837394	40.961825	0.002749	1
154	-0.405480	49.837394	40.383574	0.002209	2
155	-0.373441	50.837394	39.821422	0.003801	1
156	-0.406167	51.837394	39.274705	0.001248	1
157	-0.406181	52.833531	38.744824	0.002353	2
158	-0.429937	53.780345	38.254265	0.002643	1
159	-0.378000	53.633146	38.329714	0.002965	2
160	-0.383699	53.485947	38.405461	0.002475	1
161	-0.421150	54.387784	37.946030	0.003164	1
162	-0.390401	54.322120	37.979111	0.003269	1
163	-0.393983	54.174921	38.053477	0.004906	1
164	-0.392534	54.027722	38.128135	0.001825	2
165	-0.389933	53.880524	38.203087	0.001822	1
166	-0.384891	53.734530	38.277716	0.003097	2
167	-0.387388	53.587331	38.353258	0.001425	1
168	-0.410492	53.446568	38.425776	0.001582	1
169	-0.388557	54.433814	37.922876	0.004807	2
170	-0.423028	54.286615	37.997022	0.002427	1
171	-0.403127	55.286615	37.498939	0.003277	1
