1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.224483	0.000000	85.214450	0.008288	294
1	-0.232059	0.000000	85.214450	0.008238	2
2	-0.208116	0.000000	85.214450	0.004020	1
3	-0.231021	0.000000	85.214450	0.006932	1
4	-0.228970	0.534788	83.098260	0.009594	2
5	-0.235093	0.000000	85.214450	0.004092	1
6	-0.240045	0.000000	85.214450	0.011279	2
7	-0.242355	0.000000	85.214450	0.010765	1
8	-0.217912	0.000000	85.214450	0.009161	2
9	-0.226915	0.000000	85.214450	0.010594	1
10	-0.231246	1.000000	81.341066	0.005598	2
11	-0.230156	0.459971	83.387974	0.003930	2
12	-0.227919	0.000000	85.214450	0.003448	1
13	-0.223130	0.766523	82.213564	0.007950	1
14	-0.229391	0.226494	84.305183	0.008350	1
15	-0.234017	0.000000	85.214450	0.009812	2
16	-0.238851	0.000000	85.214450	0.006765	1
17	-0.250936	0.000000	85.214450	0.006607	2
18	-0.234578	0.462543	83.377978	0.004748	1
19	-0.217463	1.462506	79.666243	0.004057	2
20	-0.220723	2.383014	76.530061	0.005105	1
21	-0.239505	3.382209	73.393821	0.005239	2
22	-0.246556	2.845340	75.046253	0.009748	2
23	-0.220566	2.305311	76.785222	0.006302	2
24	-0.231983	3.305311	73.626026	0.010628	1
25	-0.222336	4.305311	70.716517	0.010989	2
26	-0.246296	5.305311	68.028219	0.004695	2
27	-0.228943	4.834664	69.267534	0.006527	2
28	-0.235029	5.834664	66.686263	0.005020	2
29	-0.240147	6.834664	64.290464	0.003986	1
30	-0.241410	7.834175	62.061893	0.004970	2
31	-0.235121	7.857791	62.011103	0.006399	2
32	-0.245763	8.855155	59.939513	0.007793	1
33	-0.240397	9.855155	57.996904	0.003889	2
34	-0.230573	10.855155	56.176260	0.007193	2
35	-0.220253	11.640138	54.825242	0.004768	1
36	-0.236753	12.638153	53.198624	0.004084	2
37	-0.215636	13.520151	51.839386	0.005326	2
38	-0.225168	14.519118	50.381415	0.005381	2
39	-0.229448	14.807764	49.975292	0.004924	2
40	-0.237003	15.807764	48.617554	0.003679	2
41	-0.239342	16.807719	47.331696	0.004544	2
42	-0.239986	17.803102	46.117536	0.005833	2
43	-0.249074	18.803102	44.958894	0.006569	1
44	-0.230001	19.802808	43.857360	0.006406	2
45	-0.250031	19.262779	44.445602	0.004577	2
46	-0.236545	20.262778	43.368467	0.002871	2
47	-0.248655	19.727283	43.938690	0.005182	2
48	-0.236544	19.187891	44.528424	0.006448	2
49	-0.235547	20.187888	43.447323	0.004081	1
50	-0.238351	19.648699	44.023634	0.003324	2
51	-0.237284	19.185838	44.530699	0.006984	2
52	-0.236192	20.185128	43.450235	0.003600	1
53	-0.244582	19.645098	44.027535	0.005296	2
54	-0.215563	20.645090	42.970335	0.003681	2
55	-0.246214	20.137970	43.500042	0.002941	2
56	-0.230260	19.884844	43.769360	0.003952	1
57	-0.255745	20.558994	43.059354	0.004415	2
58	-0.234383	21.405651	42.199646	0.005319	1
59	-0.244973	22.382434	41.249494	0.004151	1
60	-0.227646	23.303304	40.392099	0.007102	2
61	-0.243059	22.763276	40.890528	0.005784	1
62	-0.228759	23.763276	39.977044	0.006439	1
63	-0.232481	24.763276	39.103483	0.005879	2
64	-0.226735	24.223246	39.570434	0.006130	2
65	-0.262193	23.685198	40.046896	0.004296	2
66	-0.241154	23.169175	40.514758	0.004310	1
67	-0.229175	23.824038	39.922853	0.006109	2
68	-0.248513	24.303329	39.500485	0.006070	2
69	-0.254216	23.763586	39.976767	0.003713	1
70	-0.249816	24.761958	39.104608	0.005362	1
71	-0.246743	25.757926	38.271660	0.005053	1
72	-0.234346	26.757924	37.470294	0.004741	2
73	-0.226022	27.756122	36.703154	0.004751	1
74	-0.248879	28.755991	35.965588	0.003395	1
75	-0.265807	28.226829	36.352199	0.003852	2
76	-0.249667	27.686853	36.755373	0.003492	1
77	-0.242653	27.146847	37.167614	0.004100	1
78	-0.237100	27.770656	36.692216	0.004513	2
79	-0.262402	28.770485	35.955114	0.004142	1
80	-0.225631	29.770294	35.247057	0.002816	1
81	-0.241453	30.767888	34.567828	0.004634	2
82	-0.238486	30.229196	34.931320	0.006193	2
83	-0.225114	29.789294	35.233871	0.004415	1
